Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric",115.189000,-81.407000,0.000000,bottom
"C2","22pF","C_0805_2012Metric",115.189000,-74.803000,0.000000,bottom
"C3","1uF","C_0805_2012Metric",102.235000,-68.326000,270.000000,bottom
"C4","0.1uF","C_0805_2012Metric",106.426000,-85.598000,0.000000,bottom
"C5","0.1uF","C_0805_2012Metric",111.125000,-75.311000,270.000000,bottom
"C6","0.1uF","C_0805_2012Metric",93.218000,-78.740000,0.000000,bottom
"C7","10uF","C_0805_2012Metric",97.790000,-69.088000,180.000000,bottom
"D1","D_Small","D_SOD-123",68.262500,-50.006250,90.000000,bottom
"D2","D_Small","D_SOD-123",92.075000,-50.006250,90.000000,bottom
"D3","D_Small","D_SOD-123",111.125000,-50.006250,90.000000,bottom
"D4","D_Small","D_SOD-123",130.175000,-50.006250,90.000000,bottom
"D5","D_Small","D_SOD-123",149.225000,-50.006250,90.000000,bottom
"D6","D_Small","D_SOD-123",168.275000,-50.006250,90.000000,bottom
"D7","D_Small","D_SOD-123",187.325000,-50.006250,90.000000,bottom
"D8","D_Small","D_SOD-123",206.375000,-50.006250,90.000000,bottom
"D9","D_Small","D_SOD-123",225.425000,-50.006250,90.000000,bottom
"D10","D_Small","D_SOD-123",244.475000,-50.006250,90.000000,bottom
"D11","D_Small","D_SOD-123",263.525000,-50.006250,90.000000,bottom
"D12","D_Small","D_SOD-123",282.575000,-50.006250,90.000000,bottom
"D13","D_Small","D_SOD-123",301.625000,-50.006250,90.000000,bottom
"D14","D_Small","D_SOD-123",320.675000,-50.006250,90.000000,bottom
"D15","D_Small","D_SOD-123",339.725000,-54.768750,90.000000,bottom
"D16","D_Small","D_SOD-123",358.775000,-50.006250,90.000000,bottom
"D17","D_Small","D_SOD-123",377.825000,-50.006250,90.000000,bottom
"D18","D_Small","D_SOD-123",68.262500,-69.056250,90.000000,bottom
"D19","D_Small","D_SOD-123",76.200000,-69.056250,90.000000,bottom
"D20","D_Small","D_SOD-123",120.650000,-69.056250,90.000000,bottom
"D21","D_Small","D_SOD-123",139.700000,-69.056250,90.000000,bottom
"D22","D_Small","D_SOD-123",158.750000,-69.056250,90.000000,bottom
"D23","D_Small","D_SOD-123",177.800000,-69.056250,90.000000,bottom
"D24","D_Small","D_SOD-123",196.850000,-69.056250,90.000000,bottom
"D25","D_Small","D_SOD-123",215.900000,-69.056250,90.000000,bottom
"D26","D_Small","D_SOD-123",234.950000,-69.056250,90.000000,bottom
"D27","D_Small","D_SOD-123",254.000000,-69.056250,90.000000,bottom
"D28","D_Small","D_SOD-123",273.050000,-69.056250,90.000000,bottom
"D29","D_Small","D_SOD-123",292.100000,-69.056250,90.000000,bottom
"D30","D_Small","D_SOD-123",311.150000,-69.056250,90.000000,bottom
